iter	Passed	Remaining
0	145	145540
1	147	73639
2	149	49579
3	150	37566
4	152	30347
5	153	25502
6	155	22123
7	157	19547
8	159	17552
9	161	15952
10	162	14620
11	163	13481
12	164	12514
13	165	11676
14	166	10958
15	167	10326
16	168	9757
17	169	9248
18	170	8792
19	170	8376
20	171	8004
21	172	7666
22	173	7358
23	173	7069
24	174	6810
25	175	6571
26	176	6347
27	176	6135
28	177	5942
29	178	5761
30	178	5590
31	179	5430
32	180	5280
33	181	5144
34	182	5029
35	183	4906
36	183	4786
37	184	4674
38	185	4565
39	186	4465
40	186	4369
41	187	4278
42	188	4194
43	189	4113
44	190	4033
45	190	3959
46	191	3886
47	192	3814
48	193	3746
49	193	3681
50	194	3616
51	195	3557
52	195	3499
53	196	3445
54	197	3391
55	198	3341
56	198	3289
57	199	3241
58	200	3194
59	200	3148
60	201	3104
61	202	3061
62	203	3019
63	203	2979
64	204	2940
65	205	2904
66	206	2869
67	206	2833
68	207	2799
69	208	2766
70	208	2732
71	209	2702
72	210	2674
73	211	2643
74	212	2615
75	212	2587
76	213	2559
77	214	2533
78	215	2508
79	215	2482
80	216	2456
81	217	2432
82	217	2404
83	218	2380
84	219	2359
85	219	2337
86	220	2315
87	221	2293
88	222	2273
89	222	2252
90	223	2232
91	224	2212
92	225	2195
93	225	2176
94	226	2159
95	227	2141
96	228	2126
97	229	2110
98	229	2092
99	230	2075
100	231	2058
101	231	2041
102	232	2026
103	233	2011
104	234	1996
105	235	1982
106	235	1967
107	236	1952
108	237	1937
109	237	1923
110	238	1910
111	239	1897
112	240	1885
113	241	1873
114	241	1861
115	242	1849
116	243	1834
117	243	1822
118	244	1809
119	244	1796
120	245	1784
121	246	1772
122	247	1762
123	247	1751
124	248	1740
125	249	1729
126	249	1717
127	250	1707
128	251	1696
129	251	1686
130	252	1675
131	253	1666
132	254	1656
133	254	1646
134	255	1638
135	256	1628
136	257	1619
137	257	1610
138	258	1601
139	259	1592
140	259	1583
141	260	1573
142	260	1564
143	261	1555
144	262	1546
145	262	1538
146	263	1530
147	264	1521
148	265	1513
149	265	1506
150	266	1498
151	267	1491
152	267	1483
153	268	1476
154	269	1469
155	270	1461
156	270	1454
157	271	1447
158	272	1440
159	273	1433
160	273	1424
161	274	1417
162	274	1410
163	275	1403
164	276	1397
165	276	1390
166	277	1384
167	278	1377
168	278	1370
169	279	1364
170	280	1357
171	280	1351
172	281	1345
173	282	1339
174	282	1333
175	283	1327
176	284	1321
177	285	1316
178	285	1310
179	286	1305
180	287	1299
181	287	1293
182	288	1288
183	289	1282
184	289	1276
185	290	1271
186	291	1266
187	292	1261
188	292	1256
189	293	1251
190	294	1246
191	295	1241
192	295	1236
193	296	1232
194	297	1227
195	298	1222
196	298	1218
197	299	1213
198	300	1208
199	300	1203
200	301	1198
201	302	1194
202	303	1189
203	303	1185
204	304	1180
205	305	1176
206	305	1172
207	306	1167
208	307	1163
209	307	1158
210	308	1154
211	309	1149
212	310	1145
213	310	1141
214	311	1137
215	312	1133
216	313	1129
217	313	1125
218	314	1121
219	314	1116
220	315	1112
221	316	1108
222	317	1105
223	318	1102
224	318	1098
225	319	1094
226	320	1090
227	320	1086
228	321	1082
229	322	1078
230	322	1074
231	323	1070
232	324	1066
233	324	1063
234	325	1059
235	326	1056
236	327	1053
237	327	1049
238	328	1045
239	329	1042
240	329	1038
241	330	1035
242	331	1031
243	331	1027
244	332	1024
245	332	1020
246	333	1017
247	334	1013
248	334	1010
249	335	1006
250	336	1003
251	336	999
252	337	997
253	338	993
254	339	990
255	339	987
256	340	984
257	341	981
258	341	978
259	342	975
260	343	972
261	344	969
262	344	966
263	345	962
264	346	959
265	346	956
266	347	954
267	348	951
268	349	948
269	349	945
270	351	944
271	351	941
272	352	939
273	353	937
274	354	935
275	355	932
276	356	929
277	356	926
278	357	924
279	358	921
280	359	919
281	359	916
282	360	913
283	361	910
284	361	907
285	362	905
286	363	902
287	363	899
288	364	896
289	365	894
290	365	891
291	366	888
292	367	886
293	368	884
294	368	881
295	369	879
296	370	876
297	371	874
298	371	872
299	372	869
300	373	867
301	374	864
302	374	862
303	375	859
304	376	856
305	376	854
306	377	851
307	378	849
308	378	847
309	379	844
310	380	842
311	380	840
312	381	837
313	382	835
314	383	832
315	383	831
316	384	828
317	385	826
318	386	824
319	386	822
320	387	820
321	388	817
322	389	816
323	390	813
324	390	812
325	391	809
326	392	807
327	393	805
328	393	803
329	394	801
330	395	799
331	396	797
332	397	795
333	398	793
334	398	791
335	399	789
336	400	787
337	400	785
338	401	783
339	402	781
340	403	778
341	403	776
342	404	774
343	405	772
344	405	770
345	406	768
346	407	766
347	407	764
348	408	762
349	409	760
350	410	758
351	411	756
352	411	755
353	412	753
354	413	751
355	414	749
356	414	747
357	415	745
358	416	743
359	417	741
360	417	739
361	418	737
362	419	735
363	419	733
364	420	731
365	421	729
366	422	727
367	422	726
368	423	724
369	424	722
370	424	720
371	425	718
372	426	716
373	426	714
374	427	712
375	428	710
376	429	709
377	429	707
378	430	705
379	431	703
380	431	701
381	432	699
382	432	697
383	434	696
384	434	694
385	435	693
386	436	691
387	437	689
388	437	687
389	438	685
390	439	683
391	439	682
392	440	680
393	441	678
394	442	677
395	442	675
396	443	673
397	444	671
398	444	669
399	445	668
400	446	666
401	447	665
402	448	664
403	449	662
404	449	660
405	450	659
406	451	657
407	451	655
408	452	653
409	453	652
410	454	650
411	454	649
412	455	647
413	456	645
414	456	644
415	457	642
416	458	640
417	458	638
418	459	637
419	460	635
420	461	634
421	461	632
422	462	630
423	463	629
424	463	627
425	464	625
426	465	624
427	465	622
428	466	621
429	467	619
430	468	618
431	469	617
432	470	615
433	471	614
434	472	613
435	473	612
436	474	610
437	474	609
438	475	607
439	476	606
440	477	604
441	477	603
442	478	601
443	479	600
444	479	598
445	480	597
446	481	595
447	482	594
448	483	592
449	483	591
450	484	589
451	485	588
452	486	587
453	487	585
454	488	584
455	488	583
456	489	581
457	490	580
458	491	579
459	492	577
460	492	576
461	493	574
462	494	573
463	495	571
464	496	570
465	496	569
466	497	567
467	498	566
468	499	565
469	499	563
470	500	562
471	501	560
472	501	559
473	502	557
474	503	556
475	503	554
476	504	553
477	505	551
478	506	550
479	506	549
480	507	547
481	508	546
482	509	544
483	509	543
484	510	542
485	511	541
486	512	539
487	513	538
488	513	537
489	514	535
490	515	534
491	516	532
492	516	531
493	517	529
494	518	528
495	518	527
496	519	525
497	520	524
498	521	523
499	521	521
500	522	520
501	523	519
502	524	518
503	525	517
504	526	515
505	526	514
506	527	512
507	528	511
508	528	510
509	529	508
510	530	507
511	531	506
512	531	504
513	532	503
514	533	502
515	533	500
516	534	499
517	535	498
518	536	496
519	536	495
520	537	494
521	538	492
522	539	491
523	539	490
524	540	489
525	541	487
526	542	486
527	542	485
528	543	483
529	544	482
530	544	481
531	545	479
532	546	478
533	546	477
534	547	475
535	548	474
536	548	473
537	549	471
538	550	470
539	550	469
540	551	467
541	552	466
542	553	465
543	553	464
544	554	463
545	555	461
546	556	460
547	556	459
548	557	457
549	558	456
550	558	455
551	559	454
552	560	452
553	560	451
554	561	450
555	562	449
556	563	447
557	563	446
558	564	445
559	565	444
560	566	442
561	566	441
562	567	440
563	568	439
564	569	438
565	569	436
566	570	435
567	571	434
568	571	433
569	572	432
570	573	430
571	574	429
572	575	428
573	576	427
574	576	426
575	577	425
576	578	423
577	578	422
578	579	421
579	580	420
580	580	418
581	581	417
582	582	416
583	582	415
584	583	414
585	584	412
586	584	411
587	585	410
588	586	409
589	586	407
590	587	406
591	588	405
592	588	404
593	589	402
594	590	401
595	590	400
596	591	399
597	591	397
598	592	396
599	593	395
600	594	394
601	594	393
602	595	392
603	596	390
604	597	389
605	598	388
606	598	387
607	599	386
608	600	385
609	601	384
610	601	383
611	602	382
612	603	381
613	604	379
614	605	378
615	605	377
616	606	376
617	607	375
618	608	374
619	609	373
620	610	372
621	611	371
622	612	370
623	612	369
624	613	368
625	614	367
626	615	366
627	616	364
628	616	363
629	617	362
630	618	361
631	618	360
632	619	359
633	620	358
634	620	356
635	621	355
636	622	354
637	623	353
638	623	352
639	624	351
640	625	350
641	625	348
642	626	347
643	627	346
644	628	345
645	629	344
646	629	343
647	630	342
648	631	341
649	631	340
650	632	339
651	633	338
652	634	337
653	635	336
654	636	335
655	636	333
656	637	332
657	638	331
658	639	330
659	640	329
660	640	328
661	641	327
662	642	326
663	643	325
664	643	324
665	644	323
666	645	322
667	646	321
668	647	320
669	648	319
670	648	318
671	649	317
672	650	315
673	651	314
674	651	313
675	652	312
676	653	311
677	654	310
678	654	309
679	655	308
680	656	307
681	656	306
682	657	305
683	658	304
684	658	302
685	659	301
686	660	300
687	660	299
688	661	298
689	662	297
690	663	296
691	663	295
692	664	294
693	665	293
694	666	292
695	667	291
696	667	290
697	668	289
698	669	288
699	670	287
700	670	286
701	671	285
702	672	284
703	673	283
704	673	281
705	674	280
706	675	279
707	676	278
708	676	277
709	677	276
710	678	275
711	678	274
712	679	273
713	680	272
714	681	271
715	681	270
716	682	269
717	683	268
718	684	267
719	685	266
720	686	265
721	686	264
722	687	263
723	688	262
724	688	261
725	689	260
726	690	259
727	690	258
728	691	257
729	692	256
730	693	255
731	693	254
732	694	252
733	695	251
734	696	250
735	696	249
736	697	248
737	698	248
738	699	247
739	700	246
740	700	245
741	701	243
742	702	242
743	702	241
744	703	240
745	704	239
746	704	238
747	705	237
748	706	236
749	706	235
750	707	234
751	708	233
752	708	232
753	709	231
754	709	230
755	710	229
756	712	228
757	712	227
758	713	226
759	714	225
760	714	224
761	715	223
762	715	222
763	716	221
764	716	220
765	717	219
766	718	218
767	719	217
768	719	216
769	720	215
770	720	214
771	721	213
772	722	212
773	722	211
774	723	209
775	724	209
776	725	208
777	726	207
778	726	206
779	727	205
780	728	204
781	728	203
782	729	202
783	729	201
784	730	200
785	730	199
786	731	198
787	732	196
788	732	195
789	733	194
790	734	193
791	734	192
792	735	191
793	735	190
794	736	189
795	736	188
796	737	187
797	738	186
798	738	185
799	739	184
800	740	183
801	740	182
802	741	181
803	742	180
804	742	179
805	743	178
806	744	177
807	744	176
808	745	176
809	746	175
810	746	174
811	747	173
812	748	172
813	748	171
814	749	170
815	749	169
816	750	168
817	750	167
818	751	166
819	752	165
820	752	164
821	753	163
822	754	162
823	754	161
824	755	160
825	756	159
826	756	158
827	757	157
828	758	156
829	759	155
830	759	154
831	760	153
832	761	152
833	762	151
834	762	150
835	764	149
836	764	148
837	765	147
838	766	147
839	766	146
840	767	145
841	767	144
842	768	143
843	768	142
844	769	141
845	770	140
846	771	139
847	771	138
848	772	137
849	773	136
850	773	135
851	774	134
852	774	133
853	775	132
854	776	131
855	777	130
856	777	129
857	778	128
858	779	127
859	779	126
860	780	125
861	780	125
862	781	124
863	782	123
864	782	122
865	783	121
866	783	120
867	784	119
868	785	118
869	785	117
870	786	116
871	787	115
872	787	114
873	788	113
874	789	112
875	790	111
876	790	110
877	791	109
878	792	109
879	792	108
880	793	107
881	793	106
882	794	105
883	795	104
884	795	103
885	796	102
886	797	101
887	798	100
888	798	99
889	799	98
890	800	97
891	800	96
892	801	96
893	802	95
894	803	94
895	803	93
896	804	92
897	805	91
898	806	90
899	806	89
900	807	88
901	808	87
902	808	86
903	809	85
904	810	85
905	811	84
906	811	83
907	812	82
908	813	81
909	813	80
910	814	79
911	815	78
912	815	77
913	816	76
914	817	75
915	818	75
916	818	74
917	819	73
918	820	72
919	821	71
920	821	70
921	822	69
922	823	68
923	824	67
924	824	66
925	825	65
926	826	65
927	827	64
928	827	63
929	828	62
930	829	61
931	830	60
932	831	59
933	831	58
934	832	57
935	833	56
936	834	56
937	834	55
938	835	54
939	836	53
940	837	52
941	837	51
942	838	50
943	839	49
944	839	48
945	840	47
946	841	47
947	841	46
948	842	45
949	843	44
950	844	43
951	844	42
952	845	41
953	846	40
954	847	39
955	847	39
956	848	38
957	848	37
958	849	36
959	850	35
960	851	34
961	851	33
962	852	32
963	853	31
964	854	30
965	854	30
966	855	29
967	856	28
968	856	27
969	857	26
970	858	25
971	858	24
972	859	23
973	860	22
974	860	22
975	861	21
976	861	20
977	862	19
978	863	18
979	864	17
980	864	16
981	865	15
982	865	14
983	866	14
984	867	13
985	867	12
986	868	11
987	869	10
988	869	9
989	870	8
990	871	7
991	872	7
992	872	6
993	873	5
994	874	4
995	874	3
996	875	2
997	875	1
998	876	0
999	877	0
